16:52:03.480 [quartzScheduler_QuartzSchedulerThread] WARN  com.alibaba.druid.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/quartz?useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC, version : 1.2.4, lastPacketReceivedIdleMillis : 600430
16:53:51.719 [quartzScheduler_QuartzSchedulerThread] WARN  com.alibaba.druid.pool.DruidAbstractDataSource  - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/quartz?useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC, version : 1.2.4, lastPacketReceivedIdleMillis : 108225
17:00:56.005 [SpringApplicationShutdownHook] INFO  com.csx.common.utils.OnlineUtils  - 用户：admin , SessionId: 3B083BFDA6BB7E1BB45B38E00B855B4F , 当前时间：2021-12-11 17:00:56 退出登录！
17:00:56.053 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource  - {dataSource-1} closing ...
17:00:56.057 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource  - {dataSource-1} closed
17:01:03.637 [main] INFO  com.csx.main.MainApplication  - Starting MainApplication using Java 1.8.0_251 on Administrator with PID 15564 (D:\IdeaProject\quartz\main\target\classes started by Admin in D:\IdeaProject\quartz)
17:01:03.648 [main] INFO  com.csx.main.MainApplication  - The following profiles are active: quartz,activiti,datasource,dev
17:01:11.287 [main] WARN  com.baomidou.mybatisplus.core.metadata.TableInfoHelper  - Can not find table primary key in Class: "com.csx.common.entity.SysPermission".
17:01:13.883 [main] INFO  org.apache.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-9001"]
17:01:13.883 [main] INFO  org.apache.catalina.core.StandardService  - Starting service [Tomcat]
17:01:13.884 [main] INFO  org.apache.catalina.core.StandardEngine  - Starting Servlet engine: [Apache Tomcat/9.0.50]
17:01:14.021 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/quartz]  - Initializing Spring embedded WebApplicationContext
17:01:14.120 [main] INFO  org.apache.catalina.core.StandardContext  - Suspicious URL pattern: [/**] in context [/quartz], see sections 12.1 and 12.2 of the Servlet specification
17:01:14.121 [main] INFO  org.apache.catalina.core.StandardContext  - Suspicious URL pattern: [/**] in context [/quartz], see sections 12.1 and 12.2 of the Servlet specification
17:01:14.121 [main] INFO  org.apache.catalina.core.StandardContext  - Suspicious URL pattern: [/**] in context [/quartz], see sections 12.1 and 12.2 of the Servlet specification
17:01:14.257 [main] WARN  com.baomidou.mybatisplus.core.metadata.TableInfoHelper  - Can not find table primary key in Class: "com.csx.common.entity.SysDict".
17:01:15.518 [main] INFO  com.alibaba.druid.pool.DruidDataSource  - {dataSource-1} inited
17:01:16.737 [main] INFO  org.activiti.engine.compatibility.DefaultActiviti5CompatibilityHandlerFactory  - Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
17:01:16.927 [main] INFO  org.activiti.engine.impl.ProcessEngineImpl  - ProcessEngine default created
17:01:18.099 [main] INFO  org.apache.coyote.http11.Http11NioProtocol  - Starting ProtocolHandler ["http-nio-9001"]
17:01:18.189 [main] INFO  com.csx.main.MainApplication  - Started MainApplication in 15.537 seconds (JVM running for 19.415)
17:01:18.251 [main] INFO  com.csx.main.ApplicationRunner  - ------------------------------[2021-12-11 17:01:18]服务已启动 , 开始初始化... ------------------------------
17:01:18.301 [main] INFO  com.csx.common.service.CacheService  - com.csx.common.service.CacheService.getSysConfigAll 该方法执行成功，初始化缓存成功！
17:01:18.371 [main] INFO  com.csx.common.service.CacheService  - com.csx.common.service.CacheService.getSysSystemAll 该方法执行成功，初始化缓存成功！
17:01:18.376 [main] INFO  com.csx.common.service.CacheService  - com.csx.common.service.CacheService.getSysSubConfigAll 该方法执行成功，初始化缓存成功！
17:01:18.398 [main] INFO  com.csx.common.service.CacheService  - com.csx.common.service.CacheService.getDictMap 该方法执行成功，初始化缓存成功！
17:01:18.399 [main] INFO  com.csx.main.ApplicationRunner  - [初始化] Cache缓存 初始化完成！
17:01:18.401 [main] INFO  com.csx.main.ApplicationRunner  - [初始化] JdbcUtils 初始化完成！
17:01:18.402 [main] INFO  com.csx.main.ApplicationRunner  - [初始化] ToolUtils 初始化完成！
17:01:18.403 [main] INFO  com.csx.main.ApplicationRunner  - ------------------------------[2021-12-11 17:01:18]服务已启动 , 初始化完成！   ------------------------------
17:01:18.404 [main] INFO  com.csx.main.ApplicationRunner  - 总共用时：208 毫秒
17:01:21.604 [http-nio-9001-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/quartz]  - Initializing Spring DispatcherServlet 'dispatcherServlet'
