17:01:11.292 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.deleteByMap
17:01:11.294 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.deleteById
17:01:11.295 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.deleteBatchIds
17:01:11.297 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.update
17:01:11.298 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.updateById
17:01:11.298 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectById
17:01:11.299 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectBatchIds
17:01:11.301 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectByMap
17:01:11.302 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectOne
17:01:11.304 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectCount
17:01:11.308 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectMaps
17:01:11.310 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectMapsPage
17:01:11.311 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectObjs
17:01:11.313 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectList
17:01:11.315 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysPermissionMapper.selectPage
17:01:11.315 [main] DEBUG com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean  - Parsed mapper file: 'file [D:\IdeaProject\quartz\common\target\classes\mappers\mysql\SysPermissionMapper.xml]'
17:01:11.321 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.TreeMapper.getTreeMenu
17:01:11.321 [main] DEBUG com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean  - Parsed mapper file: 'file [D:\IdeaProject\quartz\common\target\classes\mappers\mysql\TreeMapper.xml]'
17:01:13.292 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.insert
17:01:13.294 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.delete
17:01:13.295 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.deleteByMap
17:01:13.296 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.deleteById
17:01:13.297 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.deleteBatchIds
17:01:13.299 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.update
17:01:13.302 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.updateById
17:01:13.303 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectById
17:01:13.304 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectBatchIds
17:01:13.305 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectByMap
17:01:13.307 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectOne
17:01:13.308 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectCount
17:01:13.310 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectMaps
17:01:13.311 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectMapsPage
17:01:13.313 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectObjs
17:01:13.314 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectList
17:01:13.316 [main] DEBUG com.baomidou.mybatisplus.core.MybatisConfiguration  - addMappedStatement: com.csx.common.mapper.SysUserMapper.selectPage
17:01:13.369 [main] DEBUG org.apache.shiro.spring.LifecycleBeanPostProcessor  - Initializing bean [getAuthRealm]...
17:01:13.370 [main] DEBUG org.apache.shiro.realm.AuthorizingRealm  - No authorizationCache instance set.  Checking for a cacheManager...
17:01:13.370 [main] DEBUG org.apache.shiro.realm.AuthorizingRealm  - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
